,단속장소,X,Y,단속건수,number,dis,xy,dis_to_next_num,z,test
0,서울특별시 양천구 신월3동신원초교,126.8293552,37.54537221,83,0,0,"(126.8293552, 37.54537221)",132,0,0
1,서울특별시 양천구 신월동 수명산롯데캐슬아파트,126.828413,37.5441675,44,1,132,"(126.828413, 37.5441675)",218,0,0
2,서울특별시 양천구 신월동 신월중학교,126.828963,37.5410238,91,2,293,"(126.828963, 37.5410238)",163,0,0
3,서울특별시 양천구 신월동 강서경찰서,126.830222,37.5397642,98,3,386,"(126.830222, 37.5397642)",277,0,0
4,서울특별시 양천구 신월동 273,126.8280149,37.53783654,46,4,523,"(126.8280149, 37.53783654)",74,0,0
5,서울특별시 양천구 신월동 대근아트빌,126.828542,37.5371579,52,5,554,"(126.828542, 37.5371579)",409,0,0
6,서울특별시 양천구 신월동 서울 양천구 신월동 258,126.825086,37.5392792,58,6,624,"(126.825086, 37.5392792)",489,0,0
7,서울특별시 양천구 신월동 서울 양천구 신월동 263,126.828964,37.5358071,54,7,639,"(126.828964, 37.5358071)",594,0,0
8,서울특별시 양천구 신월동 송죽공원,126.833855,37.5394,141,8,639,"(126.833855, 37.5394)",924,0,0
9,서울특별시 양천구 신월동 서울금융고등학교,126.825599,37.5378113,114,9,654,"(126.825599, 37.5378113)",32,0,0
10,서울특별시 양천구 신월동 금융고,126.825747,37.5373881,196,10,666,"(126.825747, 37.5373881)",827,0,0
11,서울특별시 양천구 신월동 삼오빌딩,126.8331897,37.53701776,50,11,701,"(126.8331897, 37.53701776)",524,0,0
12,서울특별시 양천구 신월3동 신월3동 우체국 ,126.828695,37.5346534,108,12,718,"(126.828695, 37.5346534)",280,0,0
13,서울특별시 양천구 신월동 한백리츠빌,126.831214,37.53460308,50,13,746,"(126.831214, 37.53460308)",302,0,0
14,서울특별시 양천구 신월동 KB국민은행,126.8339301,37.53433533,55,14,894,"(126.8339301, 37.53433533)",515,0,0
15,서울특별시 양천구 신월동 코아루아파트,126.829573,37.5317084,49,15,911,"(126.829573, 37.5317084)",711,0,0
16,서울특별시 양천구 신월동 서울택시,126.82359,37.5355108,85,16,918,"(126.82359, 37.5355108)",1244,0,0
17,서울특별시 양천구 신월동 현대부동산,126.834418,37.5307603,43,17,1124,"(126.834418, 37.5307603)",268,0,0
18,서울특별시 양천구 신월동 서울 양천구 신월동 809,126.832249,37.5290003,40,18,1137,"(126.832249, 37.5290003)",393,0,0
19,서울특별시 양천구 신월동 신대림빌라,126.835736,37.5280141,123,19,1357,"(126.835736, 37.5280141)",185,0,0
20,서울특별시 양천구 신월3동남부순환로58길,126.834302,37.5265885,160,20,1367,"(126.834302, 37.5265885)",470,0,0
21,서울특별시 양천구 신월동 빛고을,126.838074,37.5297833,53,21,1421,"(126.838074, 37.5297833)",23,0,0
22,서울특별시 양천구 신월동 신길운수,126.8382576,37.52961396,414,22,1443,"(126.8382576, 37.52961396)",382,0,0
23,서울특별시 양천구 신월동 서울 양천구 신월동 216,126.835559,37.5260677,38,23,1460,"(126.835559, 37.5260677)",800,0,0
24,서울특별시 양천구 신월동 디아이빌,126.8285365,37.52345084,73,24,1463,"(126.8285365, 37.52345084)",3,0,0
25,서울특별시 양천구 신월동 디아이빌아파트,126.8285687,37.52343383,72,25,1464,"(126.8285687, 37.52343383)",1168,0,0
26,서울특별시 양천구 신월동 천성교회,126.838597,37.5286848,153,26,1514,"(126.838597, 37.5286848)",36,0,0
27,서울특별시 양천구 신월동 샤르망,126.838903,37.528487,97,27,1547,"(126.838903, 37.528487)",314,0,0
28,서울특별시 양천구 신월동 신월보람더하임,126.8371343,37.52480516,44,28,1621,"(126.8371343, 37.52480516)",51,0,0
29,서울특별시 양천구 신월동 보람더하임,126.8375704,37.52507481,75,29,1632,"(126.8375704, 37.52507481)",162,0,0
30,서울특별시 양천구 신월동 서울 양천구 신월동 834,126.838817,37.5263606,65,30,1647,"(126.838817, 37.5263606)",104,0,0
31,서울특별시 양천구 신월동 아이파크위브,126.8386742,37.52481136,62,31,1718,"(126.8386742, 37.52481136)",174,0,0
32,서울특별시 양천구 신월동 롯데캐슬아파트,126.8400952,37.523706,44,32,1874,"(126.8400952, 37.523706)",345,0,0
33,서울특별시 양천구 신월동 서울 양천구 신월동 863,126.84264,37.5266721,70,33,1932,"(126.84264, 37.5266721)",69,0,0
34,서울특별시 양천구 신월동 방주기픈샘아파트,126.8427541,37.5256542,56,34,1986,"(126.8427541, 37.5256542)",284,0,0
35,서울특별시 양천구 신월동 강서초등학교,126.8409412,37.52263714,38,35,1989,"(126.8409412, 37.52263714)",262,0,0
36,서울특별시 양천구 신월동 해태아파트,126.843205,37.5215192,67,36,2213,"(126.843205, 37.5215192)",1261,0,0
37,서울특별시 양천구 신정동 서남병원,126.8331915,37.51261864,43,37,2224,"(126.8331915, 37.51261864)",1051,0,0
38,서울특별시 양천구 신월동 서울 양천구 신월동 630,126.84207,37.5180398,45,38,2306,"(126.84207, 37.5180398)",98,0,0
39,서울특별시 양천구 신월6동 신곡시장(백십자약국) ,126.8428471,37.51874024,299,39,2324,"(126.8428471, 37.51874024)",177,0,0
40,서울특별시 양천구 신월동 아이파크위브아파트,126.8416119,37.51704644,83,40,2328,"(126.8416119, 37.51704644)",359,0,0
41,서울특별시 양천구 신월동 위브캐슬부동산,126.8444336,37.51966776,86,41,2397,"(126.8444336, 37.51966776)",164,0,0
42,서울특별시 양천구 신월동 서울 양천구 신월동 896,126.8455876,37.52120762,48,42,2419,"(126.8455876, 37.52120762)",629,0,0
43,서울특별시 양천구 신월동 행복부동산,126.841519,37.51463313,81,43,2455,"(126.841519, 37.51463313)",508,0,0
44,서울특별시 양천구 신월동 두산위브아파트,126.845099,37.5193773,94,44,2463,"(126.845099, 37.5193773)",1273,0,0
45,서울특별시 양천구 신정동 댓골마을,126.836399,37.50696647,406,45,2677,"(126.836399, 37.50696647)",218,0,0
46,서울특별시 양천구 신정 목동우성1차아파트,126.8345058,37.50609039,38,46,2680,"(126.8345058, 37.50609039)",2874,0,0
47,서울특별시 양천구 신월동 귀족,126.857097,37.5270511,57,47,0,"(126.857097, 37.5270511)",403,1,
48,서울특별시 양천구 신정동 태평양약국 ,126.855775,37.52141534,197,48,403,"(126.855775, 37.52141534)",74,1,1
